company_name,job_title,job_link,job_description,extracted_skills,date_scraped
Network to Code,Front End Engineer,https://www.linkedin.com/jobs/view/front-end-engineer-at-network-to-code-3887089121?position=1&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=kP7SWmtLGfxWXTyCEEtc%2BQ%3D%3D&trk=public_jobs_jserp-result_search-card,"WHO WE ARE:Network to Code bridges the gap between DevOps and Network Engineering. We are a pioneer in the network automation industry. Our mission is to drastically change the way networks are managed, consumed, and operated on a day-to-day basis. We offer a variety of professional and consulting services as well as training on Network Automation, DevOps for Networking, and how the network can be operated with an Infrastructure as Code mindset. In addition, we are the sponsors and primary developers of Nautobot, the leading open-source platform for network source of truth and automation. Our services and solutions enable clients to better serve their business and the needs of their customers.IMPACT OF THIS ROLE:As a Front End Engineer, you will lead the charge on our Nautobot Cloud, Core and App products, driving the development, deployment, and support of critical network automation solutions. Collaborating closely with project teams, you'll shape the future of the UI across all products, ensuring it aligns seamlessly with our roadmap and client requirements.A DAY IN THE LIFE:Develop, and enhance the UI of Network to Code products using React, CSS, Bootstrap, and other technologies.Collaborate with the community and project teams to understand Nautobot App (plugin) requirements.Participate in daily standups and Agile ceremonies, thriving in an Agile environment.Track project progress, identify and resolve any delays, and adopt new technologies seamlessly.WHAT YOU BRING:A passion for technology and delivering excellence.Proficiency in UI tooling and design, with a keen focus on project management.Honest, empathetic communication skills.Confidence and decisiveness in moving projects forward.A proactive approach to problem-solving and communication.RESPONSIBILITY:Elevate user experience by enhancing existing user-facing features using cutting-edge React technologies.Craft and refine reusable components and front-end libraries to foster consistency and efficiency.Translate designs and wireframes into high-quality, pixel-perfect code, maintaining design integrity.Collaborate closely with back-end developers to optimize front-end and server-side logic.Actively participate in cross-tech stack code reviews to maintain high code quality standards.Conduct rigorous testing of software to guarantee responsiveness and compatibility.Demonstrate agility in troubleshooting and upgrading dependencies to ensure smooth functionality.Flourish in a highly remote workforce environment, effectively managing communication across different time zones.Lead design-based decisions for UI layout, user experience, and other related aspects.WHAT YOU HAVE:Essential experience with cutting-edge React 18 and TypeScript for modern and scalable user interfaces.Hands-on experience with full-stack React-based web frameworks like Remix, Next.js, or SvelteKit.Proficiency in back-end development, including Python, Django, and REST APIs.Solid testing experience with Playwright and Jest.Familiarity with deploying front-end applications in containerized environments like Docker and Kubernetes.Proficient in code versioning tools like Git.Strong problem-solving skills and a proven track record of working effectively within Agile methodologies.Familiarity with wireframing and mockup tools such as Figma, Balsamiq, etc.LOCATION OF THIS ROLE:Remote, hiring AmericasWHY US:Our workplace at Network to Code is innovative, growing, and exciting. We build solution stacks that are rooted in the latest open-source technologies and enable our clients to get more work done better, faster, and cheaper than ever before. It's no surprise that Inc. acknowledged us as one of the best workplaces in 2023!Our teams are humbly led by some of the most recognized names in the network automation community. We continue to give back to the community through blogs, industry events and open-source software contributions. Although we’re located throughout the world, we use technology to maintain close peer relationships with regular virtual team events and happy hours.We believe people are our most valuable resource at Network to Code. Our culture is rooted in collaboration, community, and forward thinking. We are passionately committed to leading and shaping the future of network automation; and as we continue to grow rapidly, we’re always on the lookout for talented, innovative people to join our team!Network to Code is an Equal Opportunity Employer. Network to Code does not discriminate on the basis of race, religion, color, sex, gender identity, sexual orientation, age, non-disqualifying physical or mental disability, national origin, veteran status or any other basis covered by appropriate law. All employment is decided on the basis of qualifications, merit, and business need. Show more Show less Seniority level Mid-Senior level Employment type Full-time Job function Information Technology, Business Development, and Sales Industries IT Services and IT Consulting and Engineering Services","['Python', 'Django', 'React']",2024-05-02 10:00:19.984770
Dexian Inc,Junior .NET Full Stack Developer,https://www.linkedin.com/jobs/view/junior-net-full-stack-developer-at-dexian-inc-3914863429?position=2&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=Xdch86h45GTA2SBRCX9w9A%3D%3D&trk=public_jobs_jserp-result_search-card,"F1-OPT Junior .NET Full Stack Developer (1 year experience, remote – US/Canada Only)F1-OPT visa holders only** Annual Salary: $50K to $77KAbout EPCVIP:We specialize in lead generation within the Financial Services Industry. Are are experts at PPC traffic, search engine, display and email marketing has propelled us to the forefront of the lead generation industry. We have developed a customizable optimization platform, allowing us to yield the highest EPCs in the industry. The key to our success is attributed to our talented employees and superior proprietary technology.Description:As a Full Stack Developer, you will be involved in designing, developing, and maintaining high-quality web applications using the .NET framework. This is an excellent opportunity to gain hands-on experience and grow your skills in a supportive and collaborative environment.Responsibilities:Collaborate with the development team to understand project requirements and objectives Participate in the design and development of web applications using the .NET framework Write clean, well-structured code using C# and other .NET languages Develop front-end components using HTML, CSS, and JavaScript frameworks Integrate APIs and web services to enhance application functionality Conduct testing and debugging to ensure the functionality and performance of applications Collaborate with designers to ensure seamless integration of visual elements and user experience Assist in the optimization of applications for scalability and performance Stay up-to-date with the latest .NET technologies and industry best practices Contribute to code reviews and provide constructive feedback Document technical specifications and project details Qualifications:Bachelor's degree in Computer Science, Software Engineering, or a related field Strong understanding of the .NET framework and web development principles Proficiency in C# and other .NET languages Experience with front-end technologies such as HTML, CSS, and JavaScript Knowledge of popular JavaScript frameworks/libraries like React, Angular, or Vue.js Familiarity with relational databases and SQL Basic understanding of version control systems (e.g., Git) Good problem-solving and analytical skills Excellent communication and collaboration skills Ability to work independently and within a team Eagerness to learn and adapt to new technologies Preferred Qualifications:Experience with web development frameworks like ASP.NET or ASP.NET Core Understanding of front-end build tools and workflows (e.g., Webpack, Babel) Familiarity with database technologies like SQL Server or MySQL Knowledge of cloud platforms such as Azure or AWS Exposure to Agile development methodologies AFFIRMATIVE ACTION/EQUAL OPPORTUNITY EMPLOYERWe are an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, criminal history, genetic information or any of the protected classes.We are committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Nanotechnology Research","['JavaScript', 'SQL', 'React']",2024-05-02 10:00:19.984770
WinStreakz,Full Stack Engineer,https://www.linkedin.com/jobs/view/full-stack-engineer-at-winstreakz-3910697963?position=3&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=sBkgOe4P5vQS%2FJrvK7RmgQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Direct message the job poster from WinStreakz Brett DeBari Brett DeBari CEO WinStreakz Inc. (WinStreakz on iOS and Android) - an ODX1 accelerator company WinStreakz is a 100% free to play sports app (on ios and android) where people make 5 picks a day across all sports (NBA, NFL, NHL, NCAA Football, and NCAA Basketball). Prizes are awarded to the top 100 players every week, from $1 up to $2,000.WinStreakz is part of the ODX1 (On Deck accelerator) where we raised 125k last January. We are currently in the midst of a follow up funding round to raise $500k on a $2.5mm valuation.So far we have had over 10k signups and now have just under 2500 people playing per month and around 1000 people playing the app per week. If we can get 10k playing per month there are several large sponsors that are willing to come on board with paying contracts (currently we have Gametime Tickets, Chinook Seeds, SuperBook Sports, RTsports, and TrophySmack as sponsor/partners).This role is to lead all development and engineering effort and become a founding partner (equity in the 5% to up to 25% range potentially. The product has been handed over 3 times from different development teams until I decided to bring on a US based resource, he unfortunately has decided to go back to Corporate America.Product is built in react native front end and django/python backend. Utilizing Postgres and AWSThe app is 95% good to go, but there seem to be some small issues on the front end side on the android UX. Once this is fixed we can start to market and grow our user base, based on the data from marketing campaigns and in app actions.for someone to grow the user base from 1,000 weekly players to 5,000 weekly players over the next 2 months and then to 10,000 to 50,000. We are generating >$1 per user per month and will be profitable at 5,000 weekly players.I will only consider US based applications and looking for someone that is open to an equity role with salary coming on after the follow up fundraise.Please linkedin message me if you are interested as last time I had over 500 applicants and you may fall through the cracks and if you are the best fit I don't want that, thank you. Put HELLO in all caps in the message so I know you read through the description and didn't just message me without viewing the job... Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Mobile Gaming Apps","['Python', 'Django', 'React']",2024-05-02 10:00:19.984770
Dexian Inc,F1 OPT Visa Junior Python Developer,https://www.linkedin.com/jobs/view/f1-opt-visa-junior-python-developer-at-dexian-inc-3914857967?position=5&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=7YL2Bdh10uFz%2FwfLPrl%2BqA%3D%3D&trk=public_jobs_jserp-result_search-card,"F1-OPT Junior Python Developer (1 year experience, remote – US/Canada Only)F1-OPT visa holders only** Annual Salary: $53,000 to $77,000About EPCVIP:We specialize in lead generation within the Financial Services Industry. Are are experts at PPC traffic, search engine, display and email marketing has propelled us to the forefront of the lead generation industry. We have developed a customizable optimization platform, allowing us to yield the highest EPCs in the industry. The key to our success is attributed to our talented employees and superior proprietary technology.Description:In this role, you will work closely with senior developers and other cross-functional teams to develop and maintain high-quality Python applications. As a Junior Python Developer, you will have the opportunity to learn and grow your skills while contributing to exciting projects.Responsibilities:Collaborate with senior developers to design and develop Python applications. Write clean, efficient, and maintainable code that follows best practices. Participate in code reviews and provide constructive feedback. Debug and fix issues in the existing codebase. Assist in testing and quality assurance processes. Stay updated with the latest trends and technologies in Python development. Requirements:Bachelor's degree in Computer Science, Software Engineering, or a related field. Strong knowledge of Python programming language. Familiarity with web frameworks such as Django or Flask. Experience with version control systems, preferably Git. Basic understanding of front-end technologies (HTML, CSS, JavaScript). Good problem-solving and analytical skills. Excellent communication and teamwork abilities. Self-motivated and eager to learn. Nice to have:Experience with database systems such as MySQL, PostgreSQL, or MongoDB. Knowledge of RESTful APIs and integration. Familiarity with cloud platforms such as AWS or Azure. Understanding of agile development methodologies. Benefits:Flexible vacation, unlimited paid holidays, and paid sick days 401(k) with up to 2% employer match Health, vision, and dental insurance AFFIRMATIVE ACTION/EQUAL OPPORTUNITY EMPLOYERWe are an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, criminal history, genetic information or any of the protected classes.We are committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. Show more Show less Seniority level Entry level Employment type Full-time Job function Information Technology Industries Nanotechnology Research","['PostgreSQL', 'Python', 'JavaScript', 'SQL', 'Flask', 'Django']",2024-05-02 10:00:19.984770
Omni Conectado,Desenvolvedor Back-end Java / Oracle,https://www.linkedin.com/jobs/view/desenvolvedor-back-end-java-oracle-at-omni-conectado-3915115067?position=6&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=WFllYaeEsBu81IlX8zmDrA%3D%3D&trk=public_jobs_jserp-result_search-card,"Job DescriptionA OmniSomos uma empresa em constante transformaçãoA Omni, presente há 29 anos no mercado, é uma instituição sólida e reconhecida por possui um dos melhores serviços de crédito do Brasil. Temos orgulho da nossa importância para pessoas com menor acesso a crédito. Por isso, empenhamos toda dedicação e responsabilidade para seguirmos adiante sempre, melhorando a Vida das PessoasNos dedicamos ao desenvolvimento contínuo dos nossos colaboradores. Cultivamos relacionamentos com proximidade para criar vínculos com lealdade e parceria, com forte senso de fazer o que é correto, em um ambiente de respeito e cordialidade. Somos uma empresa humanizada e valorizamos a diversidade de nossos colaboradores como uma verdadeira força, e essa força só poderá ser utilizada se fizermos com que todos sintam que realmente podem ser eles mesmos no dia a dia, independentemente de sua etnia, religião, orientação sexual, gênero, deficiência ou qualquer outra característica pessoal.Cultura OmniO que vivemos diariamente e temos orgulho de ser!PropósitoOMNIZAR!Omnizar é... Fazer o melhor hoje para o amanhã ser ainda melhor!VisãoSer o seu melhor parceiro em soluções financeiras.ValoresAgir de modo empreendedor;Garantir eficiência;Respeitar nossas parcerias;Ter senso de justiça;Trabalhar pra valer.Se você se identifica com este ambiente e se considera, colaborativo, integrador e transformador, venha fazer parte do nosso time.Procuramos pessoas que queiram fazer parte da transformação e evolução dos nossos negócios digitais, atuando em modelo de squad multidisciplinar, que acredita que para criar um ambiente inovador é imprescindível que não tenham medo de errar e de arriscar! Que se identifique com um time que valoriza a colaboração e a aprendizagem contínua.Eae, quer vir fazer parte disso e voar com a gente??? 🚀🚀🚀🚀Então, veja abaixo mais detalhes dos desafios que temos para você e o que você precisará possuir de conhecimento para fazer parte disso! 👇Responsibilities and assignmentsVocê será desafiadoparticipar de uma instituição financeira em transformação digital, desenvolvendo soluções tecnológicas, utilizando as mais atuais tecnologias do mercado, tais como: Java, Micro Serviços, Sprint Boot e banco de dados Oracle.Desenvolvemos nosso projetos norteados por metodologias ágeis e com as principais ferramentas de mercado.Será sua responsabilidade analisar, codificar, testar, preparar documentação, acompanhar homologação e implantação de sistemas.Requirements And QualificationsExperiência como Desenvolvedor back-end Java com conhecimento na arquitetura Spring Boot .Experiência com Oracle PL/SQL.Additional informationContratação PJProcess stagesStep 1: Cadastro1CadastroStep 2: TRIAGEM2TRIAGEMStep 3: ENTREVISTA RH3ENTREVISTA RHStep 4: ENTREVISTA GESTOR4ENTREVISTA GESTORStep 5: Contratação5ContrataçãoSe você é apaixonado por novos desafios e não tem medo de ousar, venha fazer parte do time Omni!Somos uma empresa com 29 anos de mercado e que não perde a vontade de crescer e inovar. Nesse tempo, aprendemos uma coisa importante: VOCÊ é o nosso maior patrimônio.Chegamos a essa conclusão da nossa maneira, olho no olho, porque o nosso trabalho é oferecer soluções financeiras, do jeito que você precisar. Simples, não é?Seja por meio de um Financiamento de Veículos, Crediário Loja, Crédito com Garantia de Veículo, Investimentos Financeiros ou Cartões Private Label. Essa é a nossa forma de ampliar um mundo de opções para você realizar seus objetivos na vida.O nosso cliente é aquele que já passou por outros bancos e financeiras e por ter dificuldades de comprovação de renda e baixo score o crédito é negado, aqui no Omni nós trabalhamos para encontrar possibilidades de crédito que se adequem a realidade dos nossos clientes!Nossa filosofia está em impactar positivamente o mundo, e assim praticamos o nosso propósito junto aos nossos clientes, nós Omizamos Vidas apoiando famílias inteiras na realização dos seus sonhos, seja na compra de um veículo, na reforma da casa ou até mesmo em uma viagem.Nós queremos e estamos pertinho dos microempreendedores que estão iniciando o seu negócio ou precisam de um capital de giro, nós disponibilizamos crédito para o pipoqueiro (a), para a rendeira (o), para o dono (a) do mercadinho, para a cabeleireira (o) e para o caminhoneiro! Nos orgulhamos disso, pois reconhecemos nossa relevância para tanta gente!Para nós Omnizar é “fazer o melhor hoje, para o seu amanhã ser ainda melhor”!Melhor para os nossos clientes, colaboradores, parceiros e para a sociedade como um todo, pois sabemos da nossa responsabilidade e possibilidades de tornar o mundo um lugar muito melhor.Juntos somos únicos, juntos somos Omni!Sim somos únicos! Temos um jeito só nosso. Respiramos a nossa Cultura e nos orgulhamos muito disso!Somos uma empresa humanizada e valorizamos a diversidade de nossos colaboradores como uma verdadeira força, e essa força só poderá ser utilizada se fizermos com que todos sintam que realmente podem ser eles mesmos no dia a dia, independentemente de sua etnia, religião, orientação sexual, gênero, deficiência ou qualquer outra característica pessoal.Adoramos a diversidade! E isso é muito natural para nós. Quanto mais diverso, melhor!Muito prazer, somos a Omni.Conectado com você! Show more Show less Seniority level Not Applicable Employment type Full-time Job function Other Industries Financial Services",['SQL'],2024-05-02 10:00:19.984770
Fullbay,Developer,https://www.linkedin.com/jobs/view/developer-at-fullbay-3883928705?position=8&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=jKg9K01bJvWBimrB7%2Bzkvw%3D%3D&trk=public_jobs_jserp-result_search-card,,[],2024-05-02 10:00:19.984770
SelectQuote Insurance Services,Software Engineer II,https://www.linkedin.com/jobs/view/software-engineer-ii-at-selectquote-insurance-services-3885784440?position=9&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=efV1bvZSbLtytPF5P%2BHCKQ%3D%3D&trk=public_jobs_jserp-result_search-card,"Company OverviewMore than 35 years ago, SelectQuote was founded on one core promise: to help our customers protect the people they value most. We pioneered the way consumers shopped for term life insurance, and now, we also help people find home insurance, auto insurance, senior health insurance and more. Our quick and easy process saves consumers both time and money, and today, more than 2 million families trust us to help them with their insurance needs.But what truly sets us apart is our people, and the opportunities to grow your career with SelectQuote are unmatched.About The RoleSoftware Engineer IIJob SummaryAs a Software Engineer II you will be responsible for independently developing and maintaining software products that delight our users. You will collaborate within a cross-functional team fostering mutual learning and growth while building supporting and deploying software with high availability performance efficiency and security ensuring disaster recovery capabilities. Additionally you may participate in deployments security tasks performance tuning and production monitoring.Supervisory ResponsibilitiesThis position has no direct supervisory responsibilities. Essential Duties And ResponsibilitiesIndependently write clean well-documented and maintainable code.Conduct unit and integration testing to ensure code quality and functionality.Participate in code reviews learn from team feedback and provide suggestions for code improvement.Debug and troubleshoot moderately complex software issues efficiently.Follow best practices established by the organization and participate in improvement conversations.Participate in a predictable on-call schedule to provide major incident support for production issues.Collaborate with team members in an agile development environment and actively contributes to team discussions.Stay up-to-date with the latest software development trends and technologies.Participate in technical design discussions and document solutions for minimally complex problems.Work with agile team members to ensure user stories are actionable valuable testable and easy to understand by stakeholders.Document review and ensure that all quality and change control standards are met.Ability to work in multiple areas of the technology stack.Skills/AbilitiesAbility to perform tasks with minimal technical supervisionStrong communication skillsStrong initiative innovative thinking skills and the ability to analyze details and adopt a strategic viewStrong interpersonal skills; ability to effectively build relationships promote a collaborative team environment and influence othersEducation And ExperienceBachelor’s degree in Computer Science Software Engineering or a related field.2 years of relevant work experience.Experience in front end technology such as HTML CSS and JavaScript/TypeScript frameworks (React required).Experience in back end technology such as Java (Java required).Experience in source code version control (git preferred).Experience in relational database technology.Experience in writing SQL queries against a relational database.Experience in cloud native design and development (AWS preferred).Experience in containerization (Docker).Experience in CI/CD tools.Familiarity with design patterns and software architecture principles.Physical RequirementsWork is performed indoors with potential for exposure to safety and health hazards related to office work. Could periodically travel to other office and operational sites. The noise level in the work environment is usually moderate.Prolonged periods of sitting at a desk and working on a computer.SelectQuote Core ValuesService: We create positive customer experiences.Entrepreneurship: We create innovate & take risks.Leadership: We build & invest in high-performing teams.Empowerment: We embrace a changing environment.Courage: We challenge the status quo & drive continuous improvement.Teamwork: We help support & celebrate each other.Disclaimer: The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be construed as an exhaustive list of all responsibilities duties and skills required.Our BenefitsCompensation & BenefitsThe Compensation for this position is listed below. Local minimum wage laws apply. This information is posted pursuant to local requirements to provide applicants with information about what they might be eligible to receive. Individual pay decisions will depend on job-related factors such as experience, education, skill, performance, and geographic location where work will be performed.Successful candidates may be able to participate in one or more incentive compensation or short-term incentive plans, which could generate additional earnings in accordance with the terms of each plan.Full-time SelectQuote employees are eligible for medical, dental, vision, voluntary short-term disability, company-paid long term disability, company-paid life insurance and accidental death & dismemberment (AD&D), 401(k) + company match and 100% vesting after 4 years, discretionary profit sharing, employee stock purchase program (espp), paid time off, floating holidays, paid maternity leave, paid parental bonding leave, tuition reimbursement, jury duty pay, and other paid leaves vary based on work location.Base Salary Minimum$90,000Base Salary Maximum$124,000 Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries Insurance","['JavaScript', 'SQL', 'React']",2024-05-02 10:00:19.984770
ManTech,Full Stack Developer,https://www.linkedin.com/jobs/view/full-stack-developer-at-mantech-3899997070?position=10&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=dxe8tKZwRNus8lqtyL8erg%3D%3D&trk=public_jobs_jserp-result_search-card,"Secure our Nation, Ignite your FutureBecome an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.ManTech’s Digital Transformation Division is seeking an experienced Full Stack Developer to join our technical team, contributing to the development of multiple web applications for the United States ARMY Human Resources Command. This role offers the unique opportunity to be a part of a dynamic team responsible for designing, developing, and deploying modernized business applications that serve the ARMY HR community. As a full-time, remote employee in an agile environment, you'll find a highly rewarding work atmosphere filled with training and professional growth opportunities.What You’ll Get to Do:Directly engage in the full software development life cycle (SDLC), from requirements gathering and analysis to design, development, and implementation, using Agile methodologies. Join a high-performing team to design, develop, and implement enterprise solutions using the latest tools and technologies. Be a key collaborator, where your insights and recommendations drive the modernization and enhancement of our client applications, impacting both performance and user experience. Work hands-on with Azure cloud services, staying at the forefront of cloud-based solutions and digital innovation. Develop critical applications used by over 100,000 users, making a meaningful impact on a large and diverse audience. Implement cybersecurity best practices and meet rigorous Department of Defense standards to ensure the highest security and compliance levels in our solutions. Responsibilities include, but are not limited to:Collaborate with stakeholders to translate business requirements into technical solutions. Engage in both front-end and back-end development, playing a key role in full-stack application development. Develop and maintain secure REST API endpoints using ASP.NET, incorporating robust user permissions and data validation. Create responsive, front-end user interfaces for Single Page Application (SPA) web apps using React and JavaScript. Focus on modernizing and rewriting legacy applications, aiming to migrate them and their resources to the cloud environment (cARMY). Write unit tests to ensure functionality and reliability of both back-end and front-end code. Create comprehensive solution documentation, including technical and user guides, system diagrams, data models, and integration strategies. Develop code in accordance with U.S. Government (USG) Information Assurance (IA) and Security (INFOSEC) standards, policies, and best practices. Ensure user accessibility by meeting Section 508 compliance requirements. Uphold high code quality standards and thoughtful application design for consistency across projects. Participate in regular Scrum events as part of an agile team. Collaborate across US time zones via Email, MS Teams, Slack, Zoom, Google Drive, Git repositories, Azure DevOps, and project documents. Bring a positive, solution-focused attitude and a willingness to present innovative ideas. Execute additional tasks as required. Basic Qualifications:BS Degree or equivalent experience. Minimum of 2+ years of hands-on software engineering experience. CompTIA Security+ certification (or willingness to acquire within the first month of employment). Proficiency in developing REST APIs using ASP.NET and working with container technologies. Strong understanding of data structures and experience with relational databases like Oracle and SQL Server. Proficiency with JavaScript frameworks (React, Vue.JS, Angular, etc.) and SPA concepts (client-side rendering, routing, application state, API integration, etc.). Experience with TypeScript, including its type system (interfaces, types, generics). Knowledge of responsive design principles and experience with UI frameworks (Bootstrap, Material Design, Tailwind, etc.). Experience in writing unit tests for both back-end and front-end using tools like Jest, NUnit, Moq, Fluent Assertions, etc. Proficient in Agile Software Development methodologies. Ability to work independently and collaboratively. Experience with git version control, cloud service providers, and understanding of DevSecOps and CI/CD pipelines. Strong history of working with software development team to assess, develop, test, and maintain systems and applications. Strong team collaboration skills, excellent communication abilities, and attention to detail. Preferred Qualifications:Azure certifications including Azure Fundamentals (AZ-900), Azure Administrator Associate (AZ-104), Azure Developer Associate (AZ-204), Azure Solutions Architect Expert (AZ-305). Experience in implementing automated DevSecOps pipelines and CI/CD technologies. Hands on experience with implementing different types of user authentication, user permissions, and role-based access control (RBAC). Familiarity with DOD cloud environments, especially cARMY. Experience with government (DOD and ARMY) development processes and requirements. 3+ years of hands-on software engineering experience. Proficiency in code analysis using tools like Fortify, Checkmarx, and SonarQube. Expertise in rewriting legacy applications and migrating applications to the cloud. Experience with DocuSignSecurity Clearance Requirements:US citizenship, active DoD Secret ClearancePhysical Requirements:Must be able to remain in a stationary position 50%. Constantly operates a computer and other office productivity machinery, such as a calculator, copy machine and computer printer. The person in this position frequently communicates with co-workers, management and customers, which may involve delivering presentations. Must be able to exchange accurate information in these situations. The projected compensation range for this position is $84,900-$141,100. There are differentiating factors that can impact a final salary/hourly rate, including, but not limited to, Contract Wage Determination, relevant work experience, skills and competencies that align to the specified role, geographic location (For Remote Opportunities), education and certifications as well as Federal Government Contract Labor categories. In addition, ManTech invests in it’s employees beyond just compensation. ManTech’s benefits offerings include, dependent upon position, Health Insurance, Life Insurance, Paid Time Off, Holiday Pay, Short Term and Long Term Disability, Retirement and Savings, Learning and Development opportunities, wellness programs as well as other optional benefit elections.For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on either verifying U.S.-person status or obtaining any necessary license. The applicant will be required to answer certain questions for export control purposes, and that information will be reviewed by compliance personnel to ensure compliance with federal law. ManTech may choose not to apply for a license for such individuals whose access to export-controlled technology or software source code may require authorization and may decline to proceed with an applicant on that basis alone.ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information. Show more Show less Seniority level Entry level Employment type Full-time Job function Engineering and Information Technology Industries IT Services and IT Consulting","['JavaScript', 'SQL', 'React']",2024-05-02 10:00:19.984770
National General,Software Engineer Cons I,https://www.linkedin.com/jobs/view/software-engineer-cons-i-at-national-general-3902884369?position=12&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=SI4hkMjBo5iLNmSde%2BKk7Q%3D%3D&trk=public_jobs_jserp-result_search-card,"Job DescriptionJob DescriptionAre you ready to join a company that has spent years at the forefront of technology? If so, National General is ready for you. We’re not just an insurance company – we’re an innovation company and we’re looking for innovators like you to join our National General Policy team.In National General, you will be in the center of creating new, industry-leading digital products that are not only cutting-edge but are developed using advanced engineering techniques designed to create an unmatched customer experience. Plus, with continuous growth and development opportunities, you will not only transform National General tech products.And that’s not all – here at National General, we believe in an inclusive workplace that encourages employees to bring unique perspectives and experiences to the table to collaboratively solve problems to elevate our customer experience.So, if you’re ready to bring your best tech solutions to life – we’re looking for a .NET Developer who is ready to take risks and think outside the box as we look to transform the way the insurance industry operates.The ideal candidate will be able to demonstrate the following:You will use the latest selected technology stack in your day-to-day development activities. You will work alongside other experienced engineers in an Agile environment, sharing your knowledge and skills, and learning from others as the product progresses. These will be true full-stack engineering positions providing opportunity for both front-end UI and back-end services development experience. We are looking for those with an enthusiasm for software engineering and a proven ability to investigate and apply new technologies.Job Qualifications3 or more years of experience with C#, ASP.NET (Web Forms & MVC), JavaScript, jQuery, JSON, XML, HTML5, CSS3, Microsoft SQL Server 2012, Ajax, and Bootstrap for Responsive DesignWorking knowledge of related technologies such as: Internet Information Server and Active DirectoryExperience with Agile development methodologies such as Scrum, Kanban, XP, with the ability to transform documented use cases into prototypes and finished solutionsDeveloping applications utilizing .NET framework 4.7 and above.Good working knowledge of object-oriented design.Able to write technical documentation.Must be self-motivated with the ability to accomplish tasks with minimal direction.Ability to handle multiple tasks simultaneously and meet deadlines.Solid attention to details and highly organized.Relationship building skills.Ability to apply estimation techniques to software development efforts.Strong collaboration skills and desire to work within a teamExperience with data base design, stored procedures, views, and user-defined functions.National General Holdings Corp. is an Equal Opportunity (EO) employer – Veterans/Disabled and other protected categories. All qualified applicants will receive consideration for employment regardless of any characteristic protected by law. Candidates must possess authorization to work in the United States, as it is not our practice to sponsor individuals for work visas.In the event you need assistance or accommodation in completing your online application, please contact NGIC main office by phone at (336) 435-2000. Show more Show less Seniority level Associate Employment type Full-time Job function Engineering and Information Technology Industries Insurance","['JavaScript', 'SQL']",2024-05-02 10:00:19.984770
Offered.ai,Software Engineer (AWS/Mobile),https://www.linkedin.com/jobs/view/software-engineer-aws-mobile-at-offered-ai-3915308503?position=13&pageNum=0&refId=UdHcwrkUN%2FZFQYfP2CIMlQ%3D%3D&trackingId=9QHPVUpV4Jf1j80UDPnxcA%3D%3D&trk=public_jobs_jserp-result_search-card,,[],2024-05-02 10:00:19.984770
